         TOF        Yobs       sYobs       Ycalc
     4037.28    46217.00      468.00    46399.00
     4039.30    47475.00      475.00    48325.00
     4041.32    49640.00      486.00    50139.00
     4043.34    51422.00      495.00    51835.00
     4045.36    53093.00      504.00    53454.00
     4047.39    54399.00      510.00    55025.00
     4049.41    56358.00      520.00    56467.00
     4051.43    57662.00      526.00    57617.00
     4053.45    57124.00      524.00    58256.00
     4055.47    57151.00      524.00    58220.00
     4057.51    56619.00      518.00    57465.00
     4059.54    55475.00      517.00    56099.00
     4061.56    53612.00      508.00    54343.00
     4063.60    52242.00      498.00    52406.00
     4065.64    49476.00      488.00    50510.00
     4067.66    47847.00      480.00    48896.00
     4069.70    46563.00      470.00    47711.00
     4071.73    46122.00      471.00    47132.00
     4073.77    46782.00      471.00    47286.00
     4075.81    47210.00      477.00    48166.00
     4077.84    48975.00      483.00    49605.00
     4079.88    51464.00      499.00    51265.00
     4081.92    52349.00      500.00    52793.00
     4083.97    53549.00      506.00    53850.00
     4086.01    53937.00      512.00    54295.00
     4088.04    53661.00      507.00    54246.00
     4090.09    53664.00      507.00    53980.00
     4092.15    53885.00      509.00    53835.00
     4094.18    53854.00      513.00    54035.00
     4096.22    55047.00      515.00    54646.00
     4098.27    55880.00      519.00    55505.00
     4100.32    57024.00      525.00    56315.00
     4102.38    56855.00      524.00    56741.00
     4104.43    55982.00      520.00    56543.00
     4106.48    55664.00      519.00    55654.00
     4108.53    54794.00      515.00    54185.00
     4110.58    53412.00      508.00    52327.00
     4112.64    51403.00      499.00    50308.00
     4114.69    48445.00      484.00    48307.00
     4116.75    46209.00      469.00    46408.00
     4118.82    44988.00      466.00    44662.00
     4120.87    43223.00      457.00    43073.00
     4122.93    42190.00      451.00    41607.00
     4124.99    40713.00      440.00    40237.00
     4127.06    39035.00      434.00    38962.00
     4129.13    37340.00      422.00    37825.00
     4131.19    36629.00      421.00    36846.00
     4133.25    36656.00      421.00    36098.00
     4135.31    35603.00      412.00    35668.00
     4137.38    36021.00      418.00    35701.00
     4139.45    36442.00      417.00    36366.00
     4141.53    37344.00      423.00    37834.00
     4143.60    39686.00      439.00    40161.00
     4145.67    42913.00      454.00    43286.00
     4147.75    46824.00      475.00    46968.00
     4149.82    50512.00      498.00    50736.00
     4151.88    53766.00      511.00    54150.00
     4153.97    55754.00      521.00    56864.00
     4156.05    57949.00      531.00    58685.00
     4158.13    58915.00      536.00    59648.00
     4160.20    59357.00      542.00    59960.00
     4162.27    59443.00      539.00    59778.00
     4164.35    58752.00      536.00    59184.00
     4166.43    58015.00      533.00    58167.00
     4168.51    56772.00      527.00    56782.00
     4170.61    54729.00      514.00    55042.00
     4172.71    52520.00      507.00    53081.00
     4174.79    50651.00      498.00    51071.00
     4176.88    49069.00      490.00    49139.00
     4178.96    47075.00      480.00    47356.00
     4181.04    45090.00      469.00    45775.00
     4183.14    43791.00      459.00    44363.00
     4185.24    42144.00      454.00    43073.00
     4187.32    41186.00      449.00    41885.00
     4189.42    40495.00      442.00    40782.00
     4191.52    39311.00      439.00    39803.00
     4193.61    38456.00      431.00    38991.00
     4195.71    37785.00      430.00    38363.00
     4197.81    37123.00      423.00    37899.00
     4199.91    37169.00      427.00    37535.00
     4202.00    37040.00      423.00    37184.00
     4204.10    36593.00      424.00    36773.00
     4206.20    36388.00      420.00    36245.00
     4208.31    35565.00      415.00    35602.00
     4210.41    34383.00      411.00    34853.00
     4212.51    33400.00      403.00    34121.00
     4214.62    33243.00      402.00    33415.00
     4216.73    32851.00      400.00    32793.00
     4218.85    32322.00      396.00    32300.00
     4220.95    31780.00      396.00    31997.00
     4223.04    32123.00      396.00    31940.00
     4225.16    32032.00      395.00    32204.00
     4227.27    32506.00      398.00    32831.00
     4229.38    33618.00      405.00    33798.00
     4231.50    35369.00      416.00    35072.00
     4233.63    36655.00      421.00    36449.00
     4235.75    38414.00      435.00    37687.00
     4237.87    39286.00      440.00    38561.00
     4239.98    39445.00      441.00    38958.00
     4242.10    39765.00      443.00    38878.00
